,States,x,y
0,Andaman And Nicobar Islands,195,-317
1,Andhra Pradesh,-107,-196
2,Assam,204,74
3,Arunachal Pradesh,242,116
4,Bihar,68,55
5,Chhattisgarh,-26,-50
6,Dadra And Nagar Haveli And Daman And Diu,-254,-73
7,Delhi,-120,134
8,Goa,-216,-198
9,Gujarat,-281,4
10,Haryana,-154,150
11,Himachal Pradesh,-144,226
12,Jharkhand,42,12
13,Karnataka,-150,-220
14,Kerala,-150,-320
15,Lakshadweep,-200,-380
16,Madhya Pradesh,-100,-20
17,Maharashtra,-198,-90
18,Manipur,252,33
19,Meghalaya,176,55
20,Mizoram,233,-2
21,Nagaland,273,70
22,Odisha,32,-78
23,Puducherry,-57,-277
24,Punjab,-186,177
25,Rajasthan,-237,90
26,Sikkim,133,105
27,Tamil Nadu,-111,-304
28,Telangana,-95,-136
29,Tripura,203,5
30,Chandigarh,-135,191
31,Jammu And Kashmir,-182,261
32,Ladakh,-129,284
33,Uttar Pradesh,-86,115
34,Uttarakhand,-90,165
35,West Bengal, 109, -7
